user_id,code_activation,access_start,access_end,days
1079921,2017-10-01 00:58:03,2017-10-06 00:56:35,2017-11-01 23:59:59,96
1079933,2017-10-01 01:51:48,2017-10-06 01:49:20,2017-11-01 23:59:59,96
1079985,2017-10-01 05:39:42,2017-10-06 05:36:54,2017-11-01 23:59:59,96
1079977,2017-10-01 05:52:50,2017-10-06 05:50:42,2018-04-01 23:59:59,9396
1080000,2017-10-01 06:23:17,2017-10-06 06:16:24,2017-10-31 23:59:59,26
1080005,2017-10-01 06:25:50,2017-10-06 06:24:54,2017-11-01 23:59:59,96
1080041,2017-10-01 08:03:06,2017-10-06 08:00:53,2017-10-31 23:59:59,26
1080063,2017-10-01 09:35:22,2017-10-06 09:21:11,2017-10-31 23:59:59,26
1080069,2017-10-01 09:43:42,2017-10-06 09:38:59,2017-10-31 23:59:59,26
1080084,2017-10-01 10:12:46,2017-10-06 10:11:44,2017-10-31 23:59:59,26
1080096,2017-10-01 11:18:22,2017-10-06 11:00:29,2017-10-31 23:59:59,26
1080107,2017-10-01 11:47:06,2017-10-06 11:45:44,2017-10-31 23:59:59,26
1080117,2017-10-01 12:20:21,2017-10-06 12:18:52,2017-11-01 23:59:59,96
1080123,2017-10-01 12:37:39,2017-10-06 12:34:40,2017-10-31 23:59:59,26
1080126,2017-10-01 12:38:12,2017-10-06 12:36:44,2017-10-31 23:59:59,26
1080227,2017-10-01 18:05:31,2017-10-06 18:04:46,2017-10-31 23:59:59,26
1080261,2017-10-01 19:44:15,2017-10-06 19:41:16,2017-10-31 23:59:59,26
1080292,2017-10-01 21:35:16,2017-10-06 21:33:28,2017-11-01 23:59:59,96
1080304,2017-10-01 22:15:27,2017-10-06 22:14:08,2017-11-01 23:59:59,96
1080314,2017-10-01 22:57:18,2017-10-06 22:55:28,2018-04-01 23:59:59,9396
1080322,2017-10-01 23:44:17,2017-10-06 23:42:29,2017-10-31 23:59:59,26
1080331,2017-10-02 00:18:40,2017-10-07 00:16:59,2017-10-21 00:16:59,15
1080405,2017-10-02 05:11:33,2017-10-07 05:09:44,2018-04-01 23:59:59,9395
1080425,2017-10-02 06:12:13,2017-10-07 06:11:18,2017-11-01 23:59:59,95
1080429,2017-10-02 06:19:00,2017-10-07 06:15:43,2017-11-01 23:59:59,95
1080435,2017-10-02 06:45:14,2017-10-07 06:42:28,2017-10-31 23:59:59,25
1080505,2017-10-02 10:32:28,2017-10-07 10:28:42,2017-10-21 10:28:42,15
1080524,2017-10-02 11:22:23,2017-10-07 11:20:26,2017-11-01 23:59:59,95
1080554,2017-10-02 12:49:15,2017-10-07 12:47:44,2017-10-31 23:59:59,25
1080723,2017-10-02 20:12:09,2017-10-07 20:10:22,2017-12-02 23:59:59,196
1080731,2017-10-02 20:44:33,2017-10-07 20:42:50,2017-10-31 23:59:59,25
1080755,2017-10-02 21:56:31,2017-10-07 21:54:42,2017-10-25 23:59:59,19
1080775,2017-10-02 22:59:22,2017-10-07 22:57:18,2017-10-31 23:59:59,25
1080773,2017-10-02 23:18:11,2017-10-07 22:54:55,2017-10-31 23:59:59,25
1080798,2017-10-03 00:33:53,2017-10-08 00:32:32,2018-04-01 23:59:59,9394
1080830,2017-10-03 02:53:43,2017-10-08 02:51:15,2017-11-01 23:59:59,94
1080839,2017-10-03 03:54:08,2017-10-08 03:51:57,2017-11-01 23:59:59,94
1080842,2017-10-03 03:59:24,2017-10-08 03:58:56,2017-11-01 23:59:59,94
1080843,2017-10-03 04:05:28,2017-10-08 04:03:56,2018-04-01 23:59:59,9394
1080850,2017-10-03 04:30:41,2017-10-08 04:30:19,2017-11-01 23:59:59,94
1080890,2017-10-03 06:50:07,2017-10-08 06:49:34,2017-10-31 23:59:59,24
1080887,2017-10-03 07:11:03,2017-10-08 06:44:07,2018-03-01 23:59:59,9294
1080901,2017-10-03 07:21:48,2017-10-08 07:15:32,2017-10-22 07:15:32,15
1080924,2017-10-03 08:10:15,2017-10-08 08:08:50,2017-11-01 23:59:59,94
1080979,2017-10-03 12:13:20,2017-10-08 12:09:07,2017-10-21 23:59:59,14
1081009,2017-10-03 13:47:35,2017-10-08 13:46:38,2017-10-31 23:59:59,24
1081018,2017-10-03 14:11:23,2017-10-08 14:09:13,2017-10-22 14:09:13,15
1081166,2017-10-03 22:45:29,2017-10-08 22:41:21,2017-10-31 23:59:59,24
1081169,2017-10-03 22:55:54,2017-10-08 22:51:38,2017-10-31 23:59:59,24
1081246,2017-10-04 05:01:17,2017-10-09 05:00:15,2017-11-01 23:59:59,93
1081257,2017-10-04 06:09:53,2017-10-09 06:08:56,2017-10-31 23:59:59,23
1081263,2017-10-04 06:21:11,2017-10-09 06:20:10,2017-11-01 23:59:59,93
1081284,2017-10-04 07:23:24,2017-10-09 07:22:13,2017-11-01 23:59:59,93
1080446,2017-10-04 09:52:19,2017-10-07 07:01:15,2017-10-31 23:59:59,25
1081360,2017-10-04 11:17:10,2017-10-09 11:15:08,2017-11-01 23:59:59,93
1081350,2017-10-04 16:27:01,2017-10-09 10:41:49,2017-11-09 10:41:49,101
1081523,2017-10-04 20:06:07,2017-10-09 20:04:46,2017-10-31 23:59:59,23
1081555,2017-10-04 22:47:03,2017-10-09 22:44:40,2017-10-31 23:59:59,23
1081558,2017-10-04 22:48:41,2017-10-09 22:46:53,2017-10-31 23:59:59,23
1081557,2017-10-04 22:48:50,2017-10-09 22:47:11,2017-10-31 23:59:59,23
1081560,2017-10-04 22:52:26,2017-10-09 22:49:40,2017-10-31 23:59:59,23
1081550,2017-10-04 22:54:32,2017-10-09 22:36:30,2017-12-10 22:36:30,202
1081562,2017-10-04 22:55:59,2017-10-09 22:54:50,2017-10-31 23:59:59,23
1081563,2017-10-04 23:02:50,2017-10-09 23:00:16,2017-11-01 23:59:59,93
1081570,2017-10-04 23:23:31,2017-10-09 23:22:43,2017-10-31 23:59:59,23
1081576,2017-10-04 23:34:32,2017-10-09 23:33:08,2017-11-01 23:59:59,93
1081575,2017-10-04 23:36:26,2017-10-09 23:33:46,2017-10-31 23:59:59,23
1081582,2017-10-05 00:04:09,2017-10-10 00:02:39,2017-10-31 23:59:59,22
1081579,2017-10-05 00:24:36,2017-10-09 23:54:32,2017-10-31 23:59:59,23
1081590,2017-10-05 00:27:28,2017-10-10 00:26:36,2017-10-31 23:59:59,22
1081594,2017-10-05 00:36:01,2017-10-10 00:35:10,2017-10-31 23:59:59,22
1081600,2017-10-05 00:59:08,2017-10-10 00:56:09,2017-10-31 23:59:59,22
1081618,2017-10-05 02:21:44,2017-10-10 02:19:11,2017-10-24 02:19:11,15
1081621,2017-10-05 02:30:56,2017-10-10 02:29:14,2017-11-10 02:29:14,101
1081629,2017-10-05 03:01:17,2017-10-10 02:59:26,2017-10-31 23:59:59,22
1081291,2017-10-05 04:24:59,2017-10-09 07:40:51,2017-10-31 23:59:59,23
1081646,2017-10-05 04:33:02,2017-10-10 04:32:13,2017-10-31 23:59:59,22
1081669,2017-10-05 05:36:38,2017-10-10 05:34:16,2017-10-31 23:59:59,22
