user_id,country_id,next_exam_type,marketing_source,signup_device,signup_os,activated,register_date
1079934,AU,NULL,conference,desktop,Windows,1,2017-10-01 01:55:57
1080081,AU,NULL,facebook,desktop,Windows,1,2017-10-01 10:08:21
1080241,US,step-1,facebook,desktop,Macintosh,1,2017-10-01 19:01:47
1080395,AU,NULL,NULL,desktop,Windows,1,2017-10-02 04:29:02
1080507,CH,NULL,friends,desktop,Windows,1,2017-10-02 10:33:27
1080765,AU,NULL,facebook,desktop,Macintosh,1,2017-10-02 22:29:16
1080839,AU,NULL,conference,desktop,Macintosh,1,2017-10-03 03:51:44
1080864,AU,NULL,NULL,desktop,Macintosh,1,2017-10-03 05:17:10
1081069,UA,NULL,NULL,desktop,Windows,1,2017-10-03 16:19:53
1081363,SK,NULL,facebook,desktop,Windows,1,2017-10-04 11:31:18
1081465,CA,NULL,NULL,desktop,Windows,1,2017-10-04 16:57:08
1081510,CR,NULL,NULL,desktop,Windows,1,2017-10-04 19:22:17
1081517,US,shelf-neurology,google,desktop,Windows,1,2017-10-04 19:43:24
1081604,AU,NULL,NULL,desktop,Windows,1,2017-10-05 01:05:46
1081659,CZ,step-2,friends,desktop,Macintosh,1,2017-10-05 05:01:22
1081708,AU,NULL,conference,desktop,Macintosh,1,2017-10-05 07:57:43
1081746,EC,NULL,facebook,desktop,Windows,1,2017-10-05 09:13:45
1081753,PL,NULL,NULL,tablet,iOS,1,2017-10-05 09:33:09
1081762,AU,NULL,friends,desktop,Windows,1,2017-10-05 09:48:48
1081774,IN,NULL,advertisement,desktop,Windows,1,2017-10-05 10:14:04
1081782,BZ,NULL,facebook,desktop,Windows,1,2017-10-05 10:25:49
1081896,NULL,NULL,NULL,tablet,Android,1,2017-10-05 15:56:19
1082030,AU,NULL,friends,desktop,Macintosh,1,2017-10-05 22:54:02
1082067,AU,NULL,NULL,mobile,iOS,1,2017-10-06 00:50:01
1082208,US,step-3,press_online,desktop,Windows,1,2017-10-06 09:46:41
1082244,AU,NULL,facebook,NULL,NULL,1,2017-10-06 11:54:44
1082261,CZ,NULL,friends,desktop,Macintosh,1,2017-10-06 12:40:14
1082527,AU,NULL,friends,desktop,Macintosh,1,2017-10-07 06:09:42
1082531,US,shelf-anesthesiology,university,desktop,Windows,1,2017-10-07 06:31:27
1082546,AU,NULL,friends,desktop,Macintosh,1,2017-10-07 07:39:04
1082554,CH,NULL,friends,desktop,Macintosh,1,2017-10-07 08:21:14
1082567,AU,NULL,conference,desktop,Macintosh,1,2017-10-07 09:11:16
1082774,AU,NULL,NULL,desktop,Macintosh,1,2017-10-07 23:00:33
1082778,US,step-1,facebook,desktop,Windows,1,2017-10-07 23:10:34
1082803,AU,NULL,conference,desktop,Windows,1,2017-10-08 01:20:12
